variant,method,target_mode,beta_sign,seed,dataset,n_epochs,infer_steps,infer_lr,weight_lr,activation,best_epoch,best_test_error,final_test_error,final_test_cost,final_test_energy,final_train_error,final_train_cost,final_train_energy,objective,state_delta,saturation,weight_abs_mean,weight_update_rel_mean,duration_sec,device,training_iteration,config/experiment_name,config/variant,config/weight_lr,config/seed,config/dataset,config/n_samples,config/test_size,config/noise,config/hidden_sizes,config/batch_size,config/n_epochs,config/infer_steps,config/infer_lr,config/activation,config/bias,config/state_clip
bp_tanh,bp,,,42,twomoons,,,,0.0001,,29,0.3125,0.3125,0.6887743060405438,,0.3,0.6882825684547424,,,,,,,14.67877046763897,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,bp_tanh,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_direct,dplus,direct_clamp,plus,42,twomoons,30.0,15.0,0.05,0.001,tanh,28,0.21634615384615385,0.21634615384615385,0.38222971787819493,1.2128706711989183,0.225625,0.384523441195488,1.2162781047821045,0.031415371671319005,0.1589569461454327,0.0,0.061561866567612915,0.0003298601949268827,219.5036795041524,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_direct,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plusminus,dplus,nudge_0.01,plusminus,42,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.2668269230769231,0.2668269230769231,0.45057323345771205,1.2069242367377648,0.270625,0.45193141102790835,1.2105940365791321,0.0009700523177161813,0.028335907818594325,0.0,0.05694794049617105,0.0003556073997888428,330.87075894745067,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plusminus,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plusminus,dplus,nudge_0.01,plusminus,7,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.31009615384615385,0.31009615384615385,0.5080787058059986,1.280964704660269,0.279375,0.504503892660141,1.2791199684143066,0.0011015553865581752,0.02992304298095406,0.0,0.06003087944643312,0.00033981679899622574,336.12023884104565,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plusminus,0.001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plus,dplus,nudge_0.01,plus,2025,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.5,0.5,0.5777163092906659,1.1385955718847423,0.499375,0.5790310752391815,1.1948512601852417,0.0010702176531776787,0.030554920552919293,0.0,0.06004225103148806,0.00033919913385881817,238.48194546205923,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plus,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p1_plus,dplus,nudge_0.1,plus,2025,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.5,0.5,0.5143206394635714,1.1275834945531993,0.499375,0.5157119333744049,1.1832729268074036,0.026718555428087713,0.14590341352236766,0.0,0.06347958729073981,0.00033322987035667344,245.2595606953837,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p1_plus,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p1_plus,dplus,nudge_0.1,plus,2025,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.5,0.5,0.5851900027348444,1.1374963521957397,0.499375,0.5864848494529724,1.1937140369415282,0.03042791873216629,0.15630086666283505,0.0,0.05948789388325986,0.00033748080358984145,236.88420469500124,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p1_plus,0.0001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_gradual_100_0p01_plus,dplus,gradual_clamp_100_0.01,plus,2025,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.5,0.5,0.5489209431868333,1.1453354083574736,0.499375,0.5503307402133941,1.2017342877388,0.011206788085401058,0.11739746906484168,0.0,0.0624691323849917,0.0003379926729647015,530.8079817290418,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_gradual_100_0p01_plus,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p001_plus,dplus,nudge_0.001,plus,42,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.2668269230769231,0.2668269230769231,0.448527434697518,1.2090278497109046,0.268125,0.4499158263206482,1.2126683902740478,5.569199252931867e-05,0.005073756220129629,0.0,0.05720695356002616,0.00033960060750881145,229.59913125401363,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p001_plus,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plusminus,dplus,nudge_0.01,plusminus,2025,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.5,0.5,0.5948615807753342,1.143109605862544,0.499375,0.5961279237270355,1.1994845962524414,0.0012480765325017273,0.03223293861451868,0.0,0.05924753001206531,0.0003402283079982512,307.074863278307,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plusminus,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
