variant,weight_lr,best_test_error_mean,best_test_error_std,best_test_error_min,best_test_error_max,final_test_error_mean,final_test_error_std,final_test_error_min,final_test_error_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_minus_best_mean,final_minus_best_std,final_minus_best_min,final_minus_best_max,objective_mean,objective_std,objective_min,objective_max,state_delta_mean,state_delta_std,state_delta_min,state_delta_max,saturation_mean,saturation_std,saturation_min,saturation_max,weight_abs_mean_mean,weight_abs_mean_std,weight_abs_mean_min,weight_abs_mean_max,weight_update_rel_mean_mean,weight_update_rel_mean_std,weight_update_rel_mean_min,weight_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
dplus_direct,0.001,0.327724358974359,0.15131506661145547,0.2163461538461538,0.5,0.327724358974359,0.15131506661145547,0.2163461538461538,0.5,0.320625,0.1549042042683155,0.225625,0.499375,0.0,0.0,0.0,0.0,0.03453485156099,0.003760517447307338,0.031415371671319,0.0387105283141136,0.16620745375752446,0.011087678883967217,0.1589569461454327,0.1789710459004466,0.0,0.0,0.0,0.0,0.06357271960834947,0.0017558411178508675,0.0615618665676129,0.0648024908802858,0.00032991443490836664,3.067085501911381e-07,0.000329638464726,0.0003302446450723,235.82144395293048,14.235817668920701,219.5036795041524,245.69975260738283
dplus_nudge_0p1_plus,0.001,0.328525641025641,0.15043416989629246,0.21875,0.5,0.328525641025641,0.15043416989629246,0.21875,0.5,0.32645833333333335,0.14978282890015576,0.236875,0.499375,0.0,0.0,0.0,0.0,0.023651786955694334,0.0027568174900532007,0.0213793215155601,0.0267185554280877,0.13523373635951427,0.009280522373635662,0.1290348448526735,0.1459034135223676,0.0,0.0,0.0,0.0,0.06274681551450027,0.0016990111500969883,0.0608043829801438,0.0639564762726172,0.0003332223700248333,2.027344077729285e-08,0.0003331994151416,0.0003332378245763,237.01990881267315,12.434096312559065,222.717359574046,245.2595606953837
dplus_gradual_100_0p01_plus,0.001,0.3453525641025641,0.13675187591788693,0.2403846153846154,0.5,0.3453525641025641,0.13675187591788693,0.2403846153846154,0.5,0.3402083333333334,0.13789337668406462,0.256875,0.499375,0.0,0.0,0.0,0.0,0.010693930120517767,0.0005173392689599371,0.0101722230762243,0.011206788085401,0.1075643540277249,0.008574431461889045,0.1016461671392123,0.1173974690648416,0.0,0.0,0.0,0.0,0.06203823584120777,0.0016624238468714884,0.0602027878245432,0.0634427873140884,0.00033782063698933337,1.4899480505729217e-07,0.0003377331461409,0.0003379926729647,523.348845664567,13.829152550045258,507.3915866347961,531.8469686298631
dplus_nudge_0p01_plus,0.001,0.3541666666666667,0.12903378034231194,0.2548076923076923,0.5,0.3541666666666667,0.12903378034231194,0.2548076923076923,0.5,0.3454166666666667,0.13339370378070076,0.264375,0.499375,0.0,0.0,0.0,0.0,0.0009360168354274667,0.00011624607079410858,0.0008665176015347,0.0010702176531776,0.027994181533964897,0.0022458223659821003,0.0263592984744658,0.0305549205529192,0.0,0.0,0.0,0.0,0.059528885676882894,0.0015056142073991122,0.0578337259747237,0.060710680024437,0.0003389583856531334,3.030379449068638e-07,0.0003386180974258,0.0003391991338588,229.4868969141195,7.8798997699415745,223.80208724923432,238.48194546205923
dplus_direct,0.0001,0.3557692307692308,0.1271995822627207,0.2596153846153846,0.5,0.3557692307692308,0.1271995822627207,0.2596153846153846,0.5,0.3458333333333334,0.13301540872520495,0.265625,0.499375,0.0,0.0,0.0,0.0,0.040087278559803936,0.004599676704764968,0.0361001583188772,0.0451196180284023,0.18071945374676335,0.012423111352396488,0.1696590220959235,0.1941606641017521,0.0,0.0,0.0,0.0,0.0590969530536719,0.0014841653145219727,0.0574295268862261,0.0602734695255313,0.0003372603364554,5.701678060152941e-07,0.0003366127836108,0.0003376870585532,313.31906477672356,65.8293689416903,274.16285504121333,389.3205623519607
dplus_nudge_0p1_plus,0.0001,0.3565705128205128,0.12675208227070892,0.2596153846153846,0.5,0.3565705128205128,0.12675208227070892,0.2596153846153846,0.5,0.3464583333333333,0.1324828015567807,0.26625,0.499375,0.0,0.0,0.0,0.0,0.026822756205995796,0.003267877404379724,0.0240552267059683,0.0304279187321662,0.14544912900310006,0.010008653192658146,0.1365804443120335,0.156300866662835,0.0,0.0,0.0,0.0,0.059002270557155734,0.0014779579730850988,0.0573426006587592,0.0601763171294482,0.0003373580207562333,3.109429964654529e-07,0.0003370044327808,0.0003375888258981,237.60570317786187,1.35359673637025,236.7657009549439,239.16720388364047
dplus_nudge_0p1_plus,5e-05,0.3581730769230769,0.12493063904025274,0.2644230769230769,0.5,0.3581730769230769,0.12493063904025274,0.2644230769230769,0.5,0.3472916666666667,0.13178067321627,0.266875,0.499375,0.0,0.0,0.0,0.0,0.0270221003890037,0.0033002154779730266,0.02422317314893,0.0306611905246973,0.14621302321087562,0.010211548277545527,0.1371032060061892,0.1572513060194129,0.0,0.0,0.0,0.0,0.05878213198500346,0.0014657328814039962,0.057138610478831,0.0599538937005031,0.00033538413042793336,4.681303364457819e-07,0.0003348573454028,0.0003357524951505,238.9216742242376,1.5903016391638576,237.88571109529585,240.75272265682
dplus_direct,5e-05,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5,0.3466666666666667,0.13231167827645957,0.26625,0.499375,0.0,0.0,0.0,0.0,0.0404465716828902,0.004654841845957377,0.0364024123549461,0.0455347782373428,0.1818617252343231,0.01273056621828516,0.1704347261957203,0.1955836631761243,0.0,0.0,0.0,0.0,0.05882979059966744,0.001468831218769374,0.0571824114146789,0.06000286753435,0.0003355744456737,7.452911420622612e-07,0.0003347234944186,0.0003361111434102,248.89138720417395,28.074361189863126,216.48632593406364,265.8709373236634
dplus_gradual_100_0p01_plus,0.0001,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5,0.3472916666666667,0.13178067321627,0.266875,0.499375,0.0,0.0,0.0,0.0,0.011399934049695666,0.0005524366334789498,0.0108471234887838,0.0119519959948956,0.1126818586306439,0.008300012271545242,0.1058580856025218,0.1219218919302026,0.0,0.0,0.0,0.0,0.058915629913017964,0.0014739653845302486,0.0572677910658122,0.060108391179452,0.00033925404721536664,2.2340015908732222e-08,0.0003392320560064,0.0003392767204205,495.0259102759883,44.694769481880115,443.4169898349792,520.9395365333185
dplus_nudge_0p001_plus,0.0001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5,0.3489583333333333,0.13030213288098297,0.270625,0.499375,0.0,0.0,0.0,0.0,6.15170964980886e-05,5.419630608103503e-06,5.545193016587291e-05,6.588486277905758e-05,0.0054413012094381335,0.0008658656146191143,0.0048068996503328,0.006427736072801,0.0,0.0,0.0,0.0,0.05858893786644213,0.0014549181673607836,0.0569598846315284,0.0597590288832408,0.00033688443633346667,2.7061935275792254e-07,0.0003366818497259,0.0003371917729189,263.6554326309512,21.575816072259897,238.7432392919436,276.34132587118074
