target_name,target_mode,beta_sign,seed,step_lr,method,direction_norm_full,direction_norm_forward,free_mse_decrease_raw,free_mse_decrease_bp_normed,free_mse_decrease_raw_positive_rate,feedforward_ce_decrease_raw,feedforward_ce_decrease_bp_normed
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,dplus,0.0121383707349499,0.011764150733749,1.1622905731201172e-06,4.711747169494629e-05,1.0,5.960464477539064e-08,2.3643175760904947e-06
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,bp,0.4877031445503235,0.4877031445503235,0.0003181397914886,0.0003181397914886,1.0,0.0002670188744862,0.0002670188744862
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,ep,103.03262074788412,49.07707150777181,0.054438312848409,0.0002715686957041,1.0,0.0021708607673645,1.343091328938802e-05
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,dplus,0.0370831191539764,0.0343597419559955,3.37064266204834e-05,0.00044646859169,1.0,1.3113021850585938e-06,2.1845102310180664e-05
direct_plus,direct_clamp,plus,2025,0.0001,bp,0.4877031445503235,0.4877031445503235,3.189841906229655e-05,3.189841906229655e-05,1.0,2.6732683181762692e-05,2.6732683181762692e-05
direct_plus,direct_clamp,plus,2025,0.0001,ep,1.4574536681175232,0.9315191308657328,0.0001020431518554,3.431240717569987e-05,1.0,4.132588704427083e-06,1.6987323760986328e-06
direct_plus,direct_clamp,plus,2025,0.0001,dplus,0.0774931485454241,0.0773870162665844,7.639328638712565e-06,4.849831263224284e-05,1.0,3.178914388020833e-07,2.5033950805664062e-06
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,bp,0.3339143047730128,0.3339143047730128,0.000102753440539,0.000102753440539,1.0,0.0001147389411926,0.0001147389411926
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,ep,19.405415534973145,12.359989802042644,0.0104846109946568,0.0001824299494425,1.0,0.0003145933151245,5.6425730387369794e-06
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,dplus,0.002239589074937,0.0001840473414631,-1.0927518208821615e-07,-1.679857571919759e-05,0.0,-4.967053731282552e-08,-2.3444493611653647e-06
nudge_0p1_plus,nudge_0.1,plus,42,0.0001,bp,0.3339143047730128,0.3339143047730128,1.0281801223754885e-05,1.0281801223754885e-05,1.0,1.1444091796875e-05,1.1444091796875e-05
nudge_0p1_plus,nudge_0.1,plus,42,0.0001,ep,9.801322778066,6.417475620905559,0.0005417068799336,1.847247282663981e-05,1.0,1.6431013743082683e-05,5.662441253662109e-07
nudge_0p1_plus,nudge_0.1,plus,42,0.0001,dplus,0.0533709687491258,0.0532949889699618,4.311402638753255e-06,2.6966134707132976e-05,1.0,9.934107462565105e-08,8.54333241780599e-07
nudge_0p01_plus,nudge_0.01,plus,42,0.0001,bp,0.3339143047730128,0.3339143047730128,1.0281801223754885e-05,1.0281801223754885e-05,1.0,1.1444091796875e-05,1.1444091796875e-05
nudge_0p01_plus,nudge_0.01,plus,42,0.0001,ep,22.42509873708089,13.248630364735922,0.0009713917970657,1.4483928680419922e-05,1.0,2.9126803080240887e-05,4.172325134277344e-07
nudge_0p01_plus,nudge_0.01,plus,42,0.0001,dplus,0.0104343875621755,0.010184538240234,8.145968119303385e-07,2.632041772206624e-05,1.0,0.0,7.947285970052084e-07
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.0001,bp,0.3339143047730128,0.3339143047730128,1.0281801223754885e-05,1.0281801223754885e-05,1.0,1.1444091796875e-05,1.1444091796875e-05
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.0001,ep,19.405415534973145,12.359989802042644,0.001058538754781,1.82191530863444e-05,1.0,3.149112065633138e-05,5.265076955159506e-07
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.0001,dplus,0.002239589074937,0.0001840473414631,-4.967053731282552e-09,-1.6838312149047852e-06,0.0,-9.934107462565104e-09,-2.483526865641276e-07
