target_name,target_mode,beta_sign,seed,step_lr,pair,scope,cosine,norm_ratio,sign_agreement
nudge_0p001_plus,nudge_0.001,plus,7,0.001,dplus_vs_ep,forward,0.314914345741272,1.7388177749622103e-05,0.9909159739812216
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,dplus_vs_bp,full,0.0618649255484342,0.1085597965419137,0.2530216574668884
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,dplus_vs_bp,forward,0.065073059250911,0.1034349208318917,0.5060433149337769
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,ep_vs_bp,full,0.0332317283997933,271.1630967975143,0.2545990074674288
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,ep_vs_bp,forward,0.0618932023644447,146.02745994037852,0.5091980149348577
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,dplus_vs_ep,full,0.5263807276884714,0.0004006049071091,0.8915906151135763
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,42,0.001,dplus_vs_ep,forward,0.8565528392791748,0.0007081610406415,0.98380841811498
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,dplus_vs_bp,full,0.0539327605317036,0.0705179845176136,0.26946027080218
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,dplus_vs_bp,forward,0.0604458469897508,0.0628706971535478,0.53892054160436
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,ep_vs_bp,full,0.0369561531891425,177.44857894747506,0.2696598172187805
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,ep_vs_bp,forward,0.0718890614807605,91.32665839080708,0.539319634437561
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,dplus_vs_ep,full,0.5266335010528564,0.0003972031931056,0.9219973186651864
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,0.0001,dplus_vs_ep,forward,0.8353061079978943,0.0006886074549067,0.9835233489672344
direct_plus,direct_clamp,plus,42,0.001,dplus_vs_bp,full,0.0752888980011145,0.2016026825914556,0.2714937180280685
direct_plus,direct_clamp,plus,42,0.001,dplus_vs_bp,forward,0.0753731057047844,0.2013833427189061,0.5429874360561371
direct_plus,direct_clamp,plus,42,0.001,ep_vs_bp,full,0.0520684259633223,3.6223190745562976,0.272871529062589
direct_plus,direct_clamp,plus,42,0.001,ep_vs_bp,forward,0.0778155302007993,2.4235466362427824,0.545743058125178
direct_plus,direct_clamp,plus,42,0.001,dplus_vs_ep,full,0.6892269750436147,0.0556695180912509,0.8995343744754791
direct_plus,direct_clamp,plus,42,0.001,dplus_vs_ep,forward,0.9971280296643577,0.0830940292714715,0.9853857656319936
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,dplus_vs_bp,full,0.0682364211728175,0.0278077488961386,0.2616400470336278
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,dplus_vs_bp,forward,0.0704234670847654,0.0269541734990407,0.5232800940672556
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,ep_vs_bp,full,0.0391305399437745,64.00577616069201,0.2609939128160476
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,ep_vs_bp,forward,0.073152410176893,34.54146919828637,0.5219878256320953
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,dplus_vs_ep,full,0.5574837426344553,0.0004333669391783,0.9238312343756356
nudge_0p01_plus,nudge_0.01,plus,2025,0.0001,dplus_vs_ep,forward,0.9393176039059956,0.0007804686842626,0.99072594443957
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,dplus_vs_bp,full,0.062059405259788,0.0850411523822224,0.2729760507742564
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,dplus_vs_bp,forward,0.0670247282832861,0.0788245658436973,0.5459521015485128
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,ep_vs_bp,full,0.0361931178097923,235.62137560473448,0.2729665413498878
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,ep_vs_bp,forward,0.0764517377441128,112.56166602623205,0.5459330826997757
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,dplus_vs_ep,full,0.48832568526268,0.0003600040524381,0.916106015443802
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,2025,0.001,dplus_vs_ep,forward,0.8478257159392039,0.0007001651422345,0.9819650053977966
direct_plus,direct_clamp,plus,2025,0.0001,dplus_vs_bp,full,0.0726512242108583,0.1774211804901919,0.2921037624279658
direct_plus,direct_clamp,plus,2025,0.0001,dplus_vs_bp,forward,0.0727520864456892,0.177180129976166,0.5842075248559316
direct_plus,direct_clamp,plus,2025,0.0001,ep_vs_bp,full,0.0492801188180844,3.329090358338911,0.291989728808403
direct_plus,direct_clamp,plus,2025,0.0001,ep_vs_bp,forward,0.0773843855907519,2.1327290755521973,0.583979457616806
direct_plus,direct_clamp,plus,2025,0.0001,dplus_vs_ep,full,0.6626955568790436,0.0531807544564549,0.8973013858000437
direct_plus,direct_clamp,plus,2025,0.0001,dplus_vs_ep,forward,0.9970431625843048,0.0830762174788287,0.9886354704697928
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,dplus_vs_bp,full,-0.0195209922579427,0.0068598182921971,0.2385214691360791
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,dplus_vs_bp,forward,-0.2336296737194061,0.0005645039645438,0.4770429382721583
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,ep_vs_bp,full,0.0474925562739372,60.00614606223704,0.2789813677469889
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,ep_vs_bp,forward,0.0745846765736738,38.21252791808656,0.5579627354939779
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,dplus_vs_ep,full,-0.0422700094059109,0.0001152942278497,0.4779646396636963
nudge_0p01_plusminus,nudge_0.01,plusminus,42,0.001,dplus_vs_ep,forward,-0.6089318742354711,1.4895917957963146e-05,0.484302540620168
nudge_0p1_plus,nudge_0.1,plus,42,0.0001,dplus_vs_bp,full,0.073751342172424,0.1650053351257017,0.258295327425003
nudge_0p1_plus,nudge_0.1,plus,42,0.0001,dplus_vs_bp,forward,0.0738586119065682,0.1647730270480384,0.5165906548500061
nudge_0p1_plus,nudge_0.1,plus,42,0.0001,ep_vs_bp,full,0.0491678658872842,30.3107533541552,0.2591790134708087
